virus_label,mean_log10_nir_red_diff,sd_log10_nir_red_diff,n,se_log10_nir_red_diff,geomean,lower_ci,upper_ci,cells
Ebolavirus Zaire,-0.0910732338419954,0.112905291421408,7,0.0426741889720457,0.810824319328795,0.668783201216552,0.983033179689761,ACE2
Junin virus,-0.117931811712291,0.145471857497944,18,0.0342880456361997,0.76219867293769,0.652925482767352,0.889759754154021,ACE2
Lassa fever virus,-0.0357388171260361,0.0513444527261977,7,0.0194063790166045,0.921003292738542,0.843771165511295,1.0053046369761,ACE2
LCMV,-0.0541976114286839,0.14794806960354,7,0.0559191141604345,0.882678175339636,0.685805438546153,1.13606675804814,ACE2
Marburgvirus,-0.0377465371849821,0.0800619496813803,11,0.0241395860979502,0.916755370517295,0.822128822372173,1.02227337918563,ACE2
MERS-CoV,-0.0720018478286611,0.266593989833883,5,0.11922445673229,0.847223809379696,0.494673011862058,1.45103566591986,ACE2
SARS-CoV,1.71299095767806,0.67555129662697,17,0.163845255971527,51.6405617225596,24.6521190281738,108.175188184585,ACE2
SARS-CoV-2,1.2768388519789,0.42550202122908,19,0.0976168584636768,18.9164158149587,12.1761449473894,29.387855419801,ACE2
VSV,-0.0148306869697546,0.0564886246216604,15,0.0145853001606569,0.96642757474854,0.904861530102902,1.03218252314045,ACE2
WIV1-CoV,1.44616073984888,0.394331324344951,5,0.176350329378566,27.9357760098289,12.6041654184237,61.9166406790089,ACE2
