virus_label,cell_label,mean_log10,sd_log10,geomean,upper_conf,lower_conf
Khosta1 RBD,H.sapiens,0.00584751250451802,0.302566755642987,1.0135554482917,3.97080311192367,0.258712058444043
Khosta1 RBD,NULL (fs),0.0703291195818779,0.213151304251041,1.17578826012667,3.07684540563503,0.449316702789093
Khosta1 RBD,R.affinis,1.08431332100091,0.58573591968311,12.1426456360003,170.748038593021,0.863517052707764
Khosta1 RBD,R.alcyone,1.62101937009687,0.614304802954305,41.7849002838209,668.4313090701,2.61205282882066
Khosta1 RBD,R.ferrumequinum,1.2180384129654,0.647700031180612,16.5210791926089,307.277297160413,0.888272775798223
Khosta1 RBD,R.landeri,0.907528211435243,0.739320127755571,8.08217428589385,227.298024839746,0.287382792849248
Khosta1 RBD,R.pearsonii,0.148636743823863,0.34989295212026,1.40811052229027,6.8300979195505,0.290299680376336
Khosta1 RBD,R.sinicus200,0.671757228971478,0.501666451585288,4.69631510754564,45.1880368329352,0.48807996839744
Khosta1 RBD,R.sinicus215,0.420425244706218,0.419372677362786,2.63284471198969,17.4741352300607,0.396693237530131
Khosta1 RBD,R.sinicus472,0.0427794540329869,0.407157469419178,1.10351808257159,6.93119462933697,0.175691525586112
